"GDP pc","Argentina","Australia","Austria","Belgium","Brazil","Canada","Chile","China","Colombia","Denmark","Egypt","Finland","France","Germany","Greece","Iceland","India","Indonesia","Italy","Japan","Korea","Mexico","Malaysia","Netherlands","New Zealand","Norway","Peru","Philippines","Portugal","Russia","S. Africa","Singapore","Spain","Sri Lanka","Sweden","Switzerland","Taiwan","Turkey","United Kingdom","Uruguay","United States","Venezuela"
"Indexes, 2006=100","YPCINXAR","YPCINXASL","YPCINXAUT","YPCINXBE","YPCINXBR","YPCINXCA","YPCINXCHL","YPCINXCH","YPCINXCO","YPCINXDE","YPCINXEG","YPCINXFI","YPCINXFR","YPCINXGE","YPCINXGR","YPCINXICE","YPCINXIN","YPCINXINO","YPCINXIT","YPCINXJA","YPCINXKO","YPCINXME","YPCINXMY","YPCINXNE","YPCINXNZ","YPCINXNO","YPCINXPE","YPCINXPH","YPCINXPO","YPCINXRS","YPCINXSAF","YPCINXSI","YPCINXSP","YPCINXSR","YPCINXSW","YPCINXSZ","YPCINXTA","YPCINXTU","YPCINXUK","YPCINXUR","YPCINXUS","YPCINXVE"
"1991","72.163386239983069","69.242534255067497","76.635721509765844","77.879640816035689","80.577533306775194","74.270723020901187","53.101160332937205","25.880702825496972","80.094483184843","76.977282624087735","68.321614567840939","67.588153132594044","80.85411509715199","82.88491373281542","68.402048570113323","72.561112123985879","48.952107210181332","64.524827650663568","77.185019275061805","85.703671406038382","51.558767670534728","79.399485622473719","56.684667339328293","74.405321795309263","72.051347658910913","67.866252400521375","66.959247427253814","76.050609281644526","79.954707422100668","93.499929000169104","85.66407378198943","54.194784542112671","71.576622452405076","54.968175635456845","73.456746143223995","88.070139593704425","52.426993991855625","69.171024037293492","70.122797251916026","70.920490851007884","73.709044293996186","95.576207951215011"
"1992","78.327520167193114","71.000657510493326","78.606380623186567","78.756451954734288","78.902464017454832","73.85380210860113","58.744073277636851","29.236633711465487","81.946481264423625","77.860615786024169","70.020961993163951","64.696239294763032","81.917934835313531","84.094051988193883","68.147449122097257","69.28687630483472","50.617718937727147","70.646060249068867","78.101239880206109","86.32367006492953","54.130047313335211","80.73527665612194","60.413722628619446","75.136982355153108","72.096773071590249","69.848728000739726","65.260340282418127","74.692521957268227","80.600457803622149","79.878450878437391","82.027219836968186","55.971151544261943","71.832020180623417","56.880605230020343","72.140553701987898","87.205075076420314","56.044571166348376","71.967124835710337","70.028564134399517","77.10419007607797","75.130550061278271","100.15368532880616"
"1993","81.976626823476536","73.247480436729646","77.391334613548764","77.689232254315456","81.603283772854212","74.54772505637581","61.91636789382369","32.991712991090694","84.963355375068943","76.980952999595658","70.667918248693212","63.79540086130968","80.691804395143791","82.861754561524421","66.42624972489736","68.974028583212416","51.979967800669591","74.68353209706126","77.436279159632306","86.324067496918914","56.944768862753044","80.821416887331154","64.978859782944994","75.61327894365742","75.87027426090134","71.387492447158024","67.00384289215225","74.68882965533183","78.864519790095699","73.037169226633239","81.288425956255793","61.101036543191057","70.772680063855532","60.087266056409788","70.235840896091602","86.261076015484818","59.377752853908753","76.377794309101589","71.421249705964954","78.858631298308779","76.140853814494562","98.296063698269123"
"1994","85.887982701969321","75.742853707607637","79.450649153398174","79.95661640934739","85.184783248983038","77.220942053079995","64.499587168085313","36.938619759513571","87.651466584509549","80.479465505375913","72.220535134334725","65.809776502725754","82.063908197666933","84.775586830738732","67.202612287416571","71.483459210873789","54.867798718690985","79.276583951084191","79.724679634841465","86.977862098307227","61.271930189427508","82.961612088786822","69.46599288128111","77.376750788112901","78.857888010753683","74.620623182622552","74.204764054036488","76.332050508283203","79.435735170801507","63.93578471000243","82.161581964016833","66.214909393764614","72.175339171707165","62.617890098496026","72.475794196029895","86.599995511896481","63.184952206841096","70.771874427839705","74.275820660838093","83.29273653904788","78.262665930219839","92.485292005814117"
"1995","82.529566396355861","77.942348296274346","80.724370378045933","81.695835439913651","87.565149812723078","78.414598338180014","70.408084114030515","40.561399605523171","90.506816303117347","82.485669706610381","74.122589399324752","68.152490860543338","83.610932000839739","86.128938295449984","68.097832229046176","71.205011860378761","57.914741312968708","84.536550119732908","84.014324493702347","88.29656673204363","66.026801785228557","76.321438189798215","74.733651328552455","79.378664393529277","80.95940723323001","77.366307435689009","79.096911063338709","78.155343188455205","82.607353968531783","61.367259671506346","82.925609457144404","69.582308298703637","73.96675069199992","65.204376459028353","74.924947057527163","86.385054170119588","66.700338637592537","74.54670037902001","76.189484928762582","81.033944074837436","79.284269444773741","92.703066545504115"
"1996","86.211788906380633","79.978388374782696","82.71786187449554","82.478095067977307","88.664605759524889","78.709430535835622","74.61136751398044","44.190162854361489","90.64588917171416","83.987365149375904","76.538270215705367","70.460647005047136","84.249115536026167","86.735138301389057","69.223588734463206","74.475215183702943","61.197678306899022","89.727317455490621","84.785076853530668","90.340140593438377","70.016127883112333","79.050358411669208","80.557274988619184","81.784875084433779","82.457364185240579","80.918837909932392","79.567962927336026","80.905797611933977","85.369995337272087","59.319008218931671","84.631031732225964","72.161299756740192","75.583361188058646","66.963098108228891","75.810246655124772","86.639234519283036","70.379657299880435","78.397737723519271","78.060073456115873","84.550757301613316","81.29085320149764","90.744812311367966"
"1997","92.286351189523771","82.660701136695664","84.175588681636867","85.036508944910906","90.342262849750952","81.176812152793431","79.151306921900058","47.845261502547274","92.071372270608535","85.873680296355488","79.290786293013838","74.558513123509442","85.850680487300551","88.172711909121432","71.302134977811718","77.324038709734708","62.899982775749677","92.469887580660696","87.543431196758789","91.357462588841685","72.64709635244661","83.248888952699815","84.721992194366877","84.827265058646745","82.784843622138041","84.848505416201462","83.578118704244346","83.307416384281581","88.657948351398616","60.327100340997795","84.912268152063845","75.742105181592549","78.307857078456962","70.406115448029013","77.536081323589741","88.283903441847102","74.428764352490845","82.876479731073076","80.229687279160515","90.663280056223883","83.965523297656603","94.849897100383416"
"1998","94.856761525145657","86.073139328626453","87.053218990140394","86.484600251996469","89.236213667857314","83.598416911718587","81.226065634679685","51.115882791423182","90.928265312616944","87.114341458488155","80.969100489299393","78.242612927766103","88.552324613726398","89.949330954760057","73.316720032762788","80.618585098472266","65.616497112308807","78.746894030029253","90.150998913837839","89.52186854519168","67.108018469689782","86.159354012462558","76.683424603109188","87.640924620683307","82.479257395731054","86.632711298649312","81.590048762017659","81.09093135635915","92.527290838792354","57.287270571160711","83.331539753920183","72.123881359340743","81.532380759654203","72.929141471823229","80.333414470093686","90.438665661790239","77.145054310538598","83.960416334965217","82.609879918457281","94.345009872251239","86.482996066603263","93.441104319494229"
"1999","90.635357028409885","88.510338361740025","89.729441152726054","88.951673269024312","88.76406104418156","87.352560678953012","79.280812308763487","54.556180682890655","85.501985765538379","89.217774077434171","84.364416212886269","81.115705922176261","91.078116115816016","91.702122538969789","75.498950267018657","82.785109328945168","69.170832098934156","77.875549246883338","92.70130476877695","89.154761267023275","73.004838197499353","88.29037166575938","79.767391010587119","91.162673957941223","86.408026337137372","87.770104133277925","81.013840248586547","82.195517301128575","95.758149014335004","61.199455236857936","83.260430037402443","76.785328476690339","84.980761217871418","75.020576363203304","83.906106933589257","91.313096892961497","80.976713607287934","78.542931284470384","84.762361694685723","90.879424576801512","89.332669374365366","86.26332028512924"
"2000","88.954818568704425","89.164812147652782","92.635820273665558","92.162954096735035","91.455708283499177","90.996241721186806","82.595367277194498","58.707322750515608","86.53553045472141","91.842623601859486","87.283443968132957","85.01541646222374","94.319223056160808","94.519199492212351","78.639957046888767","85.675936011388046","70.780834243087241","80.482060783635177","96.361428270101058","91.620106351550419","78.597749234761878","92.856414288901036","84.948043946602908","94.023382315394585","87.926822228256043","90.094997550014511","82.14436523085331","85.41193670227095","99.028981682183527","67.322161581610715","84.631362783736904","83.233670199081885","88.554953736244471","78.276889455639719","87.407036016908805","94.153380994507742","85.065361072643739","82.987734740486971","87.657354483766682","89.578813474926989","91.614821532505161","88.026843538608489"
"2001","84.085628363329633","91.317847393394089","93.042198862734608","92.814201900432408","91.074975573143277","91.68066012975207","84.433122188899731","63.152039372709851","86.361630319429239","92.184783895612995","88.674228040648103","87.063944904401353","95.592898817699933","95.584695766934644","82.405674522741123","87.710963995026418","73.295000163754381","82.633698374880424","98.558480270838587","91.771158490378596","81.006936794620486","91.736176203021628","83.525074536563764","95.097452639708479","90.575172968919759","91.439819008970758","81.065945246620899","85.165628458436274","100.37531439663191","70.921518367778077","85.383779631000081","78.885789151630803","90.779762794084235","79.602494125132424","88.106131151739248","94.663912148147247","82.632965652422016","75.403304851645998","89.440507685898879","86.342606077243701","91.388726239474849","89.615680498834507"
"2002","74.029478270344072","93.209365844666777","93.468990336018365","93.793941153912044","92.308863801675955","93.577635796952521","85.338636802210289","68.474335948167493","86.621439845080673","92.393796685080048","89.781209344690694","88.280122396249936","95.918895135699472","95.503237891583552","85.277745935370532","85.872067176762599","75.552657429307374","85.194552251247018","99.226782198779603","91.679529018668262","86.229890175491761","91.560253591962265","85.334384817321819","94.58330396875283","93.386155400550123","92.316957671471727","84.036893890015548","87.253836810162198","100.40555851963818","74.618063336219166","87.543451348080424","81.39941653194235","91.911529415867477","81.589802051677921","89.577961657830897","94.429287561978583","85.584162236600349","80.184107703835195","90.993527874755131","76.812973844992356","91.988525858804337","80.290028846628289"
"2003","79.782871852420556","95.818667555802705","94.386194077774149","94.260769986346673","92.072721702571187","94.534863529004014","87.765885682232891","74.893938640465237","88.581956425080719","92.579488552761561","90.832629138651001","89.653041211196268","96.066672144442151","95.268738059395474","89.051838315617928","88.004331348195933","80.920712807221022","88.467184112113415","98.771038092464408","93.111115592930162","88.47906712950325","91.865105339636003","88.149263149879317","94.419699743183813","95.500638289529718","92.69706705527615","86.092663299102668","89.84702843303667","98.577115842716339","80.488792310279081","89.27816269919947","83.661801160234759","93.221188031624948","85.445415624423035","90.760647397044536","93.645260634747274","87.954792812064909","83.579648048979536","93.237001546019542","78.599395691270146","93.503026834492374","72.880835115261604"
"2004","86.099991528382333","96.9933527272307","96.028765187222533","96.292893607121798","96.058403981059172","96.211732391767853","92.230242700916577","82.012083180915965","91.513930214374597","94.314638852684723","92.875442457648305","92.820885920451872","97.709753303022779","96.426262733564428","92.907902013822806","94.458327192901933","86.694992911864659","91.771926657161771","98.941092093930152","95.22332491412088","92.206867281292148","94.767110956187835","92.805226134385322","96.168375508138453","97.637606297833969","95.762962288639272","89.363824564682218","93.681280759610971","99.16714892774624","86.688277641539287","92.581890939182671","89.926321003050646","94.741568766984273","89.17237180903453","94.148401625118154","95.479181157934164","92.96338370427938","89.844645448660884","96.002137341716178","87.932859871727743","96.040528741896779","85.1081737224645"
"2005","93.091789556439878","98.565060296295613","97.070152815965443","96.962520201540698","97.58531826984472","98.05167401662014","97.110211797177712","90.057585129327222","94.910534577701554","97.032255330743567","95.277046518815411","95.370626414504542","98.299680172323534","97.29623983981223","95.951751203067019","98.180596370692442","92.853264376289857","95.869010106645263","98.453001324893378","97.690921996424152","95.488629209259329","96.45735408285752","95.980237285222032","97.385744571134921","99.403205603789687","97.694772732709154","93.890334361883149","96.585093876204226","99.089458559783012","92.687086444854756","96.240564303825337","93.727799454479623","96.600785064648406","93.80053224965981","96.504443226733059","97.297076909137061","96.021212852105478","95.336774705653212","97.495335211865694","93.597202194659957","98.113298815031783","92.148741116423636"
"2006","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"2007","107.59373028621415","101.46367642655277","102.83718319357618","102.00472781643511","104.57926470833627","101.69484175072989","103.61771273278764","112.41137125014681","105.95799494523237","101.1967731442456","105.12417021340852","103.76034062584689","101.35629431608197","102.59750976602717","103.62427088243047","102.87686362072679","107.60832420127089","104.99339200722362","100.82176640806783","102.38125566402871","104.76093735308881","102.16467073017728","104.50130971398445","103.23591579787504","102.02158785793694","102.07249884687724","107.59877479829194","105.12467387088688","101.64187658722972","108.40429275158326","104.08817151482874","103.36973235007594","101.90146670599735","106.13501670241678","101.80200081330455","102.40667770869042","105.60512842975174","103.35554600694769","102.34652532272068","107.27611735664627","101.03188096131801","106.61748416044325"
"2008","113.73492049793293","103.43403740380489","104.19962078521","102.30248839054158","108.82810441997603","101.07359816694459","105.82747281253286","121.90218086973604","107.06839002712272","99.455634313620322","110.62332271720591","104.22727721492758","101.23718333864562","104.09790211074801","106.24228627611525","101.3308521184627","112.62556498373615","110.04807551804082","99.011773076601685","101.71772625273873","106.7580414260448","102.92835995557645","107.49402008722056","105.01273407821222","99.939732310519659","102.95750576485213","116.75754635191876","107.19070105078544","101.46183527661708","114.59589996477631","105.4330120035992","99.138966412253595","101.55089028114573","111.6344321317992","100.85537206410474","102.93375848854527","111.52443150664359","102.99912783961828","102.38353534261203","116.46632795376392","100.51192197755327","109.94831810006271"
"2009","113.5929891953255","103.67475905100984","100.26572483709445","98.529281400265489","107.53831233935242","97.289261228724982","102.78963770849541","132.37843420949781","105.91025379787342","93.813035886630857","113.52306976287571","95.670066709680995","98.179544041783728","99.117529903674509","103.92400997808321","93.865281979302566","117.42528761946784","113.56936117189407","93.321966823456933","96.534350495111383","106.63990848189805","95.400565264054947","103.83941636344414","102.19456948171899","97.288945434998155","100.21728741097319","115.96678249865015","103.91416985304119","98.503714460479628","106.03429501599948","102.21794079091873","96.108644157847863","96.672850444366688","114.64550233317627","96.023631010523459","101.28454289676766","109.0036559690821","96.891406153168617","96.65774951602485","119.40067592870267","97.223548238686107","104.24944284032631"
