"country","year","cpicss"
"China",1998,70.718958
"China",1999,70.0117685
"China",2000,71.0619448
"China",2001,70.8487591
"China",2002,70.5457993
"China",2003,72.8081812
"China",2004,74.4876059
"China",2005,75.665965
"China",2006,77.7931121
"China",2007,82.9109083
"China",2008,83.9556038
"China",2009,85.3861419
"China",2010,89.2894279
"China",2011,92.8853945
"China",2012,95.2366091
"China",2013,97.6238001
"China",2014,99
"China",2015,100.6
"China",2016,102.6
"Croatia",1951,0.426884
"Croatia",1952,0.443992
"Croatia",1953,0.404073
"Croatia",1954,0.466802
"Croatia",1955,0.517312
"Croatia",1956,0.540122
"Croatia",1957,0.55723
"Croatia",1958,0.55723
"Croatia",1959,0.580041
"Croatia",1960,0.637067
"Croatia",1961,0.711202
"Croatia",1962,0.768228
"Croatia",1963,0.796741
"Croatia",1964,0.944195
"Croatia",1965,1.433809
"Croatia",1966,1.507943
"Croatia",1967,1.569857
"Croatia",1968,1.689613
"Croatia",1969,1.871283
"Croatia",1970,2.087984
"Croatia",1971,2.463544
"Croatia",1972,2.8611
"Croatia",1973,3.464766
"Croatia",1974,4.266395
"Croatia",1975,5.154379
"Croatia",1976,5.631772
"Croatia",1977,6.377189
"Croatia",1978,7.429735
"Croatia",1979,9.153564
"Croatia",1980,12.475763
"Croatia",1981,16.924643
"Croatia",1982,22.67617
"Croatia",1983,35.840325
"Croatia",1984,52.923827
"Croatia",1985,98.861096
"Croatia",1986,189.1837
"Croatia",1987,517.766173
"Croatia",1988,1769.420713
"Croatia",1989,47501.855786
"Croatia",1990,108006.16163
"Croatia",1991,371782.541889
"Croatia",1992,43.884316
"Croatia",1993,541.129105
"Croatia",1994,554.326661
"Croatia",1995,579.699369
"Croatia",1996,601.317291
"Croatia",1997,631.468817
"Croatia",1998,669.271667
"Croatia",1999,695.415047
"Croatia",2000,733.510362
"Croatia",2001,750.689994
"Croatia",2002,764.882255
"Croatia",2003,777.580421
"Croatia",2004,798.495288
"Croatia",2005,827.626855
"Croatia",2006,844.806488
"Croatia",2007,893.686323
"Croatia",2008,918.940905
"Croatia",2009,936.048847
"Croatia",2010,953.971454
"Croatia",2011,973.523388
"Croatia",2012,999.844531
"Croatia",2013,1002.637393
"Croatia",2014,997.982623
"Croatia",2015,992
"Croatia",2016,994
"Cyprus",1942,4.823969
"Cyprus",1943,5.609333
"Cyprus",1944,5.1605412
"Cyprus",1945,5.1605412
"Cyprus",1946,5.3848936
"Cyprus",1947,5.9458183
"Cyprus",1948,7.4024142
"Cyprus",1949,7.2267395
"Cyprus",1950,7.7561105
"Cyprus",1951,8.6983735
"Cyprus",1952,8.9158589
"Cyprus",1953,9.2783346
"Cyprus",1954,9.7133054
"Cyprus",1955,10.4059208
"Cyprus",1956,11.2274454
"Cyprus",1957,11.9608285
"Cyprus",1958,12.110165
"Cyprus",1959,12.3974509
"Cyprus",1960,12.4663821
"Cyprus",1961,12.3054846
"Cyprus",1962,12.5123653
"Cyprus",1963,12.6502277
"Cyprus",1964,12.6731758
"Cyprus",1965,12.5697355
"Cyprus",1966,12.7076849
"Cyprus",1967,12.6962108
"Cyprus",1968,14.5705665
"Cyprus",1969,15.1314912
"Cyprus",1970,15.5381246
"Cyprus",1971,16.4216264
"Cyprus",1972,17.1649189
"Cyprus",1973,18.8477797
"Cyprus",1974,22.0155738
"Cyprus",1975,22.1233604
"Cyprus",1976,23.2545974
"Cyprus",1977,25.2797674
"Cyprus",1978,27.3692615
"Cyprus",1979,30.0571448
"Cyprus",1980,34.1006176
"Cyprus",1981,37.6260197
"Cyprus",1982,39.3526035
"Cyprus",1983,40.9714008
"Cyprus",1984,44.316695
"Cyprus",1985,45.1440436
"Cyprus",1986,46.4116654
"Cyprus",1987,47.4540655
"Cyprus",1988,49.4483772
"Cyprus",1989,50.8534269
"Cyprus",1990,53.7994763
"Cyprus",1991,57.3347008
"Cyprus",1992,60.5667323
"Cyprus",1993,62.7529735
"Cyprus",1994,66.2431711
"Cyprus",1995,67.3304243
"Cyprus",1996,69.0195436
"Cyprus",1997,71.714207
"Cyprus",1998,72.3924799
"Cyprus",1999,74.8647901
"Cyprus",2000,77.3550937
"Cyprus",2001,79.1910287
"Cyprus",2002,81.5211302
"Cyprus",2003,83.5506464
"Cyprus",2004,87.0571858
"Cyprus",2005,88.9499695
"Cyprus",2006,90.4016108
"Cyprus",2007,93.9394431
"Cyprus",2008,95.9126321
"Cyprus",2009,97.8771286
"Cyprus",2010,99.5286965
"Cyprus",2011,103.3968423
"Cyprus",2012,104.5355549
"Cyprus",2013,102.1277428
"Cyprus",2014,100.6326392
"Cyprus",2015,99.3983096
"Cyprus",2016,99.61
"Czech Republic",1914,16.57386
"Czech Republic",1921,200.1195
"Czech Republic",1922,123.5956
"Czech Republic",1923,116.9078
"Czech Republic",1924,114.5928
"Czech Republic",1925,111.3775
"Czech Republic",1926,117.2937
"Czech Republic",1927,117.4223
"Czech Republic",1928,116.3934
"Czech Republic",1929,113.1781
"Czech Republic",1930,104.1753
"Czech Republic",1931,101.5193
"Czech Republic",1932,103.29
"Czech Republic",1933,100.4864
"Czech Republic",1934,100.1913
"Czech Republic",1935,104.7655
"Czech Republic",1936,104.1753
"Czech Republic",1937,106.7656
"Czech Republic",1938,113.6356
"Czech Republic",1939,120.2803
"Czech Republic",1940,135.5518
"Czech Republic",1941,170.0141
"Czech Republic",1942,191.8402
"Czech Republic",1943,238.9388
"Czech Republic",1944,182.6503
"Czech Republic",1945,236.6413
"Czech Republic",1946,391.7217
"Czech Republic",1947,366.4493
"Czech Republic",1948,372.1931
"Czech Republic",1963,29.9441
"Czech Republic",1964,30.2528
"Czech Republic",1965,30.2528
"Czech Republic",1966,30.5615
"Czech Republic",1967,30.7713
"Czech Republic",1968,31.4005
"Czech Republic",1969,31.9008
"Czech Republic",1970,32.0267
"Czech Republic",1971,31.8064
"Czech Republic",1972,31.3911
"Czech Republic",1973,31.4096
"Czech Republic",1974,31.6301
"Czech Republic",1975,31.8506
"Czech Republic",1976,32.0712
"Czech Republic",1977,32.7957
"Czech Republic",1978,33.2683
"Czech Republic",1979,35.1585
"Czech Republic",1980,35.2846
"Czech Republic",1981,35.7256
"Czech Republic",1982,37.3008
"Czech Republic",1983,37.6474
"Czech Republic",1984,38.498
"Czech Republic",1985,38.9409
"Czech Republic",1986,39.1521
"Czech Republic",1987,39.1169
"Czech Republic",1988,39.5112
"Czech Republic",1989,40.0968
"Czech Republic",1990,47.4759
"Czech Republic",1991,71.3409
"Czech Republic",1992,79.53
"Czech Republic",1993,86.9829
"Czech Republic",1994,95.5796
"Czech Republic",1995,103.094
"Czech Republic",1996,111.983
"Czech Republic",1997,123.163
"Czech Republic",1998,131.502
"Czech Republic",1999,134.893
"Czech Republic",2000,140.3
"Czech Republic",2001,146.1
"Czech Republic",2002,146.9
"Czech Republic",2003,148.4
"Czech Republic",2004,152.6
"Czech Republic",2005,155.9
"Czech Republic",2006,158.6
"Czech Republic",2007,167.3
"Czech Republic",2008,173.4
"Czech Republic",2009,175.1
"Czech Republic",2010,179.1
"Czech Republic",2011,183.4
"Czech Republic",2012,187.8
"Czech Republic",2013,190.4
"Czech Republic",2014,190.5
"Czech Republic",2015,190.7
"Czech Republic",2016,194.4
"Israel",1922,0.1341
"Israel",1923,0.1145
"Israel",1924,0.1338
"Israel",1925,0.1267
"Israel",1926,0.1259
"Israel",1927,0.1133
"Israel",1928,0.1107
"Israel",1929,0.1042
"Israel",1930,0.0875
"Israel",1931,0.0879
"Israel",1932,0.0825
"Israel",1933,0.0848
"Israel",1934,0.083
